" "	"I feel GRATEFUL for our planet and its nature."	"Jeg føler meg TAKKNEMLIG for planeten og dens natur."
" "	"I feel PROUD when I act in an environmentally friendly manner."	"Jeg føler meg STOLT når jeg gjør noe miljøvennlig."
" "	"I feel ASHAMED when I act in an environmentally unfriendly manner."	"Jeg føler meg SKAMFULL når jeg gjør noe miljøskadelig."
" "	"I feel APPRECIATION towards others when they act in an environmentally friendly manner."	"Jeg føler ANERKJENNELSE overfor andre når de handler på en miljøvennlig måte."
" "	"I often feel OVERWHELMED by the beauty of nature."	"Jeg føler meg ofte OVERVELDET av skjønnheten i naturen."
" "	"I feel POSITIVE towards others when they act in an environmentally friendly manner."	"Jeg føler POSITIVITET overfor andre når de handler på en miljøvennlig måte."
" "	"I feel GUILTY when I harm the environment."	"Jeg føler meg SKYLDIG når jeg skader miljøet."
" "	"I am in AWE of our planet and its nature."	"Jeg føler ÆREFRYKT overfor planeten og dens natur."
" "	"I feel REGRET when I waste natural resources."	"Jeg føler ANGER når jeg sløser med naturressurser."
" "	"I feel DISGUSTED when others waste natural resources."	"Jeg føler AVSKY når andre sløser med naturressurser."
" "	"I feel HAPPY when I conserve or avoid wasting natural resources."	"Jeg føler meg GLAD når jeg bevarer eller unngår å sløse med naturressurser."
" "	"I feel INDIGNANT when others act in an environmentally unfriendly manner."	"Jeg føler meg INDIGNERT når andre handler på en miljøuvennlig måte."
